img	comment	related text	question	answer
		a person stand next to a stone wall with a statue of a cow	Who stand next to a stone wall with a statue of a cow?	a person
		a person stand next to a stone wall with a statue of a cow	What do a person stand next to?	to a stone wall with a statue of a cow
27091-cavalier.jpg	a woman wearing a hat and a hat sitting in a chair			
		a woman wear a hat and a hat sitting in a chair	Who wear a hat and a hat sitting in a chair?	a woman
		a woman wear a hat and a hat sitting in a chair	What do a woman wear sitting in a chair?	a hat and a hat
30901-onofrio.jpg	a large clock is displayed in a large building			
		a large clock is displayed in a large building	What is a large clock displayed in?	in a large building
		a large clock is displayed in a large building	What is displayed in a large building?	a large clock
18360-1511grec.jpg	an image of a man in a black suit			
31472-1ceiling.jpg	a large building with a large clock on the wall			
07910-christ_g.jpg	a group of people sitting around a pile of stuffed animals			
		a group of people sitting around a pile of stuffed animals	What stuffed animals?	a group of people sitting around a pile of
		a group of people sitting around a pile of stuffed animals	What did a group of people sitting around a pile of stuff?	animals
03064-apollo.jpg	a group of people that are sitting on the ground			
		a group of people that are sit on the ground	What do a group of people that are sit on?	on the ground
		a group of people that are sit on the ground	What sit on the ground?	a group of people that are
36492-coral.jpg	a group of people playing with a dog on a beach			
		a group of people play with a dog on a beach	What play with a dog on a beach?	a group of people
		a group of people play with a dog on a beach	What do a group of people play with on a beach?	with a dog
		a group of people play with a dog on a beach	What do a group of people play with a dog on?	on a beach
44769-st_hugo.jpg	a group of people standing around a table eating food			
		a group of people stand around a table eating food	What do a group of people stand around a table eating?	food
		a group of people stand around a table eating food	What stand around a table eating food?	a group of people
21427-camargo1.jpg	a group of people standing in the middle of a forest			
		a group of people stand in the middle of a forest	What stand in the middle of a forest?	a group of people
		a group of people stand in the middle of a forest	Where do a group of people stand?	in the middle of a forest
		a group of people stand in the middle of a forest	What do a group of people stand in?	in the middle of a forest
24387-viewmarl.jpg	a group of people riding horses down a dirt road			
16615-coronati.jpg	a large ornate building with a clock on it			
39967-07early.jpg	a statue of a man sitting on top of a rock			
		a statue of a man sit on top of a rock	What do a statue of a man sit on?	on top of a rock
		a statue of a man sit on top of a rock	What sit on top of a rock?	a statue of a man
		a statue of a man sit on top of a rock	Where do a statue of a man sit?	on top of a rock
04538-stia_tri.jpg	a picture of a man standing next to a clock			
		a picture of a man stand next to a clock	What do a picture of a man stand next to?	to a clock
		a picture of a man stand next to a clock	What stand next to a clock?	a picture of a man
07978-farnes23.jpg	a group of statues sitting next to a statue			
		a group of statues sit next to a statue	What do a group of statues sit next to?	to a statue
		a group of statues sit next to a statue	What sit next to a statue?	a group of statues
10226-1venus01.jpg	an image of a woman with a baby			
29970-winterla.jpg	a group of people standing around a stone building			
		a group of people stand around a stone building	What do a group of people stand around?	around a stone building
		a group of people stand around a stone building	What stand around a stone building?	a group of people
06640-stilltul.jpg	a vase filled with flowers on a wooden table			
		a vase filled with flowers on a wooden table	What do a vase fill with?	with flowers on a wooden table
		a vase filled with flowers on a wooden table	What filled with flowers on a wooden table?	a vase
34137-stjerome.jpg	an old man sitting on a bed holding a book			
		an old man sit on a bed holding a book	Who sit on a bed holding a book?	an old man
		an old man sit on a bed holding a book	What do an old man sit on a bed holding?	a book
43461-oude5.jpg	a group of people walking on a sidewalk			
		a group of people walk on a sidewalk	What walk on a sidewalk?	a group of people
		a group of people walk on a sidewalk	What do a group of people walk on?	on a sidewalk
31422-01basle.jpg	a bunch of horses that are in a building			
07854-06mark.jpg	a brown dog standing next to a sign			
		a brown dog stand next to a sign	What do a brown dog stand next to?	to a sign
		a brown dog stand next to a sign	What stand next to a sign?	a brown dog
06143-mountain.jpg	a picture of a waterfall with a waterfall in the background			
44578-ottobeur.jpg	a fancy clock is displayed on a table			
		a fancy clock is displayed on a table	What is a fancy clock displayed on?	on a table
		a fancy clock is displayed on a table	What is displayed on a table?	a fancy clock
31840-ruinrome.jpg	a group of people walking down a street			
		a group of people walk down a street	What walk down a street?	a group of people
		a group of people walk down a street	What do a group of people walk down?	a street
11016-410david.jpg	a woman wearing a red shirt and a tie			
		a woman wear a red shirt and a tie	Who wear a red shirt and a tie?	a woman
		a woman wear a red shirt and a tie	What do a woman wear?	a red shirt and a tie
10416-19melanc.jpg	a man in a black jacket holding a cigarette			
		a man in a black jacket hold a cigarette	What do a man in a black jacket hold?	a cigarette
		a man in a black jacket hold a cigarette	Who hold a cigarette?	a man in a black jacket
15449-5madonna.jpg	an old picture of a woman in a dress			
10212-2nymph1.jpg	a man laying on top of a bed next to a statue			
		a man lay on top of a bed next to a statue	Where did a man lie next to a statue?	on top of a bed
		a man lay on top of a bed next to a statue	Who lay on top of a bed next to a statue?	a man
		a man lay on top of a bed next to a statue	What did a man lie on next to a statue?	on top of a bed
		a man lay on top of a bed next to a statue	What did a man lie on top of a bed to?	next to a statue
32312-10thehol.jpg	a group of people sitting on a bed			
		a group of people sit on a bed	What sit on a bed?	a group of people
		a group of people sit on a bed	What do a group of people sit on?	on a bed
19668-damsquar.jpg	a large church with a dog on the back			
07531-29ceras.jpg	a man laying on the back of a brown horse			
		a man lay on the back of a brown horse	Who lay on the back of a brown horse?	a man
		a man lay on the back of a brown horse	What did a man lie on?	on the back of a brown horse
42288-0706vela.jpg	a woman in a white shirt and a white shirt			
13714-2assunt2.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
18856-ermina.jpg	a group of people that are in the water			
13070-brigsail.jpg	a sailboat in the ocean with clouds in the background			
19976-2melanch.jpg	a portrait of a man sitting in front of a clock			
		a portrait of a man sit in front of a clock	What sit in front of a clock?	a portrait of a man
		a portrait of a man sit in front of a clock	What do a portrait of a man sit in?	in front of a clock
36004-orator01.jpg	a painting of a painting on a wall			
37002-thewager.jpg	an old photo of a woman and a dog			
24586-judith.jpg	a man standing next to a man in a suit			
		a man stand next to a man in a suit	Who do a man stand next to?	to a man in a suit
		a man stand next to a man in a suit	Who stand next to a man in a suit?	a man
40298-104turne.jpg	a large rock with a rock in the background			
44383-winterla.jpg	a group of people riding in the water			
15822-spaniel3.jpg	a brown and white dog and a brown and white dog			
14039-altarpie.jpg	a large building with a painting on it			
27165-spring.jpg	a man standing in front of a tree			
		a man stand in front of a tree	What do a man stand in?	in front of a tree
		a man stand in front of a tree	Who stand in front of a tree?	a man
06117-colosseu.jpg	a black and white photo of a large building			
42902-2loggia3.jpg	a painting of a man in front of a window with a painting on it			
19681-veere.jpg	a group of people standing in front of a church			
		a group of people stand in front of a church	What do a group of people stand in?	in front of a church
		a group of people stand in front of a church	What stand in front of a church?	a group of people
20700-portman.jpg	a man in a black shirt and black tie			
35854-seascape.jpg	a sail boat with a sail boat in the background			
14032-mystic_m.jpg	a group of people sitting on top of horses			
		a group of people sit on top of horses	What sit on top of horses?	a group of people
		a group of people sit on top of horses	What do a group of people sit on?	on top of horses
		a group of people sit on top of horses	Where do a group of people sit?	on top of horses
23015-portrai1.jpg	a man in a black jacket and a red shirt and a red shirt			
09549-corot05.jpg	a view of a church with a church in the background			
24710-salver.jpg	a painting of a painting of a painting on a wall			
06749-burgomas.jpg	a woman wearing a hat holding a cell phone			
		a woman wear a hat holding a cell phone	Who wear a hat holding a cell phone?	a woman
		a woman wear a hat holding a cell phone	What do a woman wear?	a hat holding a cell phone
29332-candllit.jpg	a group of people that are standing in a room			
		a group of people that are stand in a room	What stand in a room?	a group of people that are
		a group of people that are stand in a room	What do a group of people that are stand in?	in a room
32499-mysticma.jpg	a group of people sitting on a couch			
		a group of people sit on a couch	What do a group of people sit on?	on a couch
		a group of people sit on a couch	What sit on a couch?	a group of people
34943-15french.jpg	a clock on the side of a wall			
21768-terpsich.jpg	a woman sitting on top of a red blanket			
		a woman sit on top of a red blanket	Where do a woman sit?	on top of a red blanket
		a woman sit on top of a red blanket	Who sit on top of a red blanket?	a woman
		a woman sit on top of a red blanket	What do a woman sit on?	on top of a red blanket
31894-altar_3s.jpg	a group of people standing around each other			
		a group of people stand around each other	What stand around each other?	a group of people
		a group of people stand around each other	What do a group of people stand around?	around each other
42943-2ceilin1.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
30887-lastsu.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
34124-architec.jpg	a man in a black jacket talking on a cell phone			
		a man in a black jacket talk on a cell phone	Who talk on a cell phone?	a man in a black jacket
		a man in a black jacket talk on a cell phone	What do a man in a black jacket talk on?	on a cell phone
39441-5maggio0.jpg	a painting of a group of people in a room			
39633-4redeeme.jpg	a man with a beard is holding a black dog			
		a man with a beard is holding a black dog	What is a man with a beard holding?	a black dog
		a man with a beard is holding a black dog	Who is holding a black dog?	a man with a beard
17121-arles43.jpg	a painting of a man standing next to a table			
		a painting of a man stand next to a table	What do a painting of a man stand next to?	to a table
		a painting of a man stand next to a table	What stand next to a table?	a painting of a man
14185-09letter.jpg	a woman and a dog in front of a mirror			
04656-01ancien.jpg	a dog that is standing on top of a couch			
		a dog that is stand on top of a couch	What stand on top of a couch?	a dog that is
		a dog that is stand on top of a couch	Where do a dog that is stand?	on top of a couch
		a dog that is stand on top of a couch	What do a dog that is stand on?	on top of a couch
35102-democrix.jpg	a dog sitting in front of a tree			
		a dog sit in front of a tree	What sit in front of a tree?	a dog
		a dog sit in front of a tree	What do a dog sit in?	in front of a tree
06892-armeria.jpg	a painting on the wall of a room			
13628-05ferenc.jpg	a man in a suit and tie in a dark room			
31943-05visdom.jpg	a group of people sitting on top of a bed			
		a group of people sit on top of a bed	What sit on top of a bed?	a group of people
		a group of people sit on top of a bed	What do a group of people sit on?	on top of a bed
		a group of people sit on top of a bed	Where do a group of people sit?	on top of a bed
09139-diane1.jpg	a group of people sitting around a table			
		a group of people sit around a table	What do a group of people sit around?	around a table
		a group of people sit around a table	What sit around a table?	a group of people
24648-grabow5.jpg	a group of people sitting in a room			
		a group of people sit in a room	What sit in a room?	a group of people
		a group of people sit in a room	What do a group of people sit in?	in a room
06859-portrait.jpg	a woman wearing a hat and a hat			
		a woman wear a hat and a hat	Who wear a hat and a hat?	a woman
		a woman wear a hat and a hat	What do a woman wear?	a hat and a hat
24173-adoratio.jpg	a large group of people sitting on a couch			
		a large group of people sit on a couch	What do a large group of people sit on?	on a couch
		a large group of people sit on a couch	What sit on a couch?	a large group of people
37785-00view.jpg	a large building with a large clock on it			
07560-42loretx.jpg	a large clock mounted to the side of a building			
		a large clock mounted to the side of a building	Where did a large clock mount?	to the side of a building
		a large clock mounted to the side of a building	What did a large clock mount to?	to the side of a building
		a large clock mounted to the side of a building	What mounted to the side of a building?	a large clock
36391-4borgo4.jpg	a picture of a woman in a dress			
21149-schmadri.jpg	a mountain with a mountain in the background			
07505-23conta0.jpg	a group of people sitting around a table in a dark room			
		a group of people sit around a table in a dark room	What do a group of people sit around?	around a table in a dark room
		a group of people sit around a table in a dark room	What sit around a table in a dark room?	a group of people
24529-01olona.jpg	a large stone building with a vase on it			
41105-07passio.jpg	a large group of people in a room			
27161-mildorf1.jpg	a group of people sitting on a couch			
		a group of people sit on a couch	What do a group of people sit on?	on a couch
		a group of people sit on a couch	What sit on a couch?	a group of people
11410-fields.jpg	a view of a field with a mountain in the background			
29490-breakfas.jpg	a little girl sitting in front of a mirror			
		a little girl sit in front of a mirror	Who sit in front of a mirror?	a little girl
		a little girl sit in front of a mirror	What do a little girl sit in?	in front of a mirror
35851-riverfis.jpg	a group of people in boats on a river			
37479-market2.jpg	a group of people that are sitting on a table			
		a group of people that are sit on a table	What do a group of people that are sit on?	on a table
		a group of people that are sit on a table	What sit on a table?	a group of people that are
00431-4seasons.jpg	a group of people sitting on top of a sandy beach			
		a group of people sit on top of a sandy beach	What sit on top of a sandy beach?	a group of people
		a group of people sit on top of a sandy beach	What do a group of people sit on?	on top of a sandy beach
		a group of people sit on top of a sandy beach	Where do a group of people sit?	on top of a sandy beach
43393-f_virgi.jpg	a picture of a man standing in front of a clock			
		a picture of a man stand in front of a clock	What stand in front of a clock?	a picture of a man
		a picture of a man stand in front of a clock	What do a picture of a man stand in?	in front of a clock
28430-winterla.jpg	a group of people standing around a house			
		a group of people stand around a house	What do a group of people stand around?	around a house
		a group of people stand around a house	What stand around a house?	a group of people
02870-joseph2.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
07559-42loreto.jpg	a man sitting on a bench with a child			
		a man sit on a bench with a child	Who sit on a bench with a child?	a man
		a man sit on a bench with a child	What do a man sit on?	on a bench with a child
26361-writing2.jpg	a woman and a dog in a room			
39630-2rabbit.jpg	a group of people sitting on top of a bed			
		a group of people sit on top of a bed	What sit on top of a bed?	a group of people
		a group of people sit on top of a bed	What do a group of people sit on?	on top of a bed
		a group of people sit on top of a bed	Where do a group of people sit?	on top of a bed
23619-hermit.jpg	a statue of a man standing next to a rock			
		a statue of a man stand next to a rock	What do a statue of a man stand next to?	to a rock
		a statue of a man stand next to a rock	What stand next to a rock?	a statue of a man
24062-2sposi11.jpg	a vase sitting on the side of a wall			
		a vase sit on the side of a wall	What do a vase sit on?	on the side of a wall
		a vase sit on the side of a wall	Where do a vase sit?	on the side of a wall
		a vase sit on the side of a wall	What sit on the side of a wall?	a vase
11677-4west.jpg	a large cathedral with a large clock on it			
06226-martelli.jpg	a man in a black hat and a hat			
06596-5sense3.jpg	a painting of a man sitting on top of a table			
		a painting of a man sit on top of a table	What do a painting of a man sit on?	on top of a table
		a painting of a man sit on top of a table	What sit on top of a table?	a painting of a man
		a painting of a man sit on top of a table	Where do a painting of a man sit?	on top of a table
39654-02trinit.jpg	a group of people sitting on top of a horse			
		a group of people sit on top of a horse	What sit on top of a horse?	a group of people
		a group of people sit on top of a horse	What do a group of people sit on?	on top of a horse
		a group of people sit on top of a horse	Where do a group of people sit?	on top of a horse
21857-fountain.jpg	a group of people standing near a fountain			
		a group of people stand near a fountain	What do a group of people stand near?	near a fountain
		a group of people stand near a fountain	What stand near a fountain?	a group of people
28393-stpeter.jpg	a dog laying on its back on a bed			
		a dog lay on its back on a bed	What did a dog lie on its back on?	on a bed
		a dog lay on its back on a bed	What lay on its back on a bed?	a dog
		a dog lay on its back on a bed	What did a dog lie on on a bed?	on its back
04916-cartoxen.jpg	a couple of cows standing next to each other			
		a couple of cows stand next to each other	What stand next to each other?	a couple of cows
		a couple of cows stand next to each other	What do a couple of cows stand next to?	to each other
12402-gluck.jpg	a man in a suit sitting in a chair			
		a man in a suit sit in a chair	Who sit in a chair?	a man in a suit
		a man in a suit sit in a chair	What do a man in a suit sit in?	in a chair
08509-1lands09.jpg	a large rock in front of a body of water			
33382-05newtes.jpg	a man sitting on a couch reading a book			
		a man sit on a couch reading a book	Who sit on a couch reading a book?	a man
		a man sit on a couch reading a book	What do a man sit on a couch reading?	a book
05427-02madonn.jpg	a statue of a woman in a costume			
28735-crucifix.jpg	a painting of a group of people and horses			
33297-crepuscu.jpg	a painting of a painting on the side of a cliff			
18977-02guilla.jpg	a painting of a vase with flowers in it			
42791-1sacris.jpg	a couple of people that are sitting on a bed			
		a couple of people that are sit on a bed	What do a couple of people that are sit on?	on a bed
		a couple of people that are sit on a bed	What sit on a bed?	a couple of people that are
29248-102muril.jpg	a man holding a plate of food on a sidewalk			
		a man hold a plate of food on a sidewalk	What do a man hold a plate of food on?	on a sidewalk
		a man hold a plate of food on a sidewalk	What do a man hold a plate of on a sidewalk?	of food
		a man hold a plate of food on a sidewalk	What do a man hold on a sidewalk?	a plate of food
		a man hold a plate of food on a sidewalk	Who hold a plate of food on a sidewalk?	a man
36741-kingjohn.jpg	a man in a red jacket holding a microphone			
		a man in a red jacket hold a microphone	Who hold a microphone?	a man in a red jacket
		a man in a red jacket hold a microphone	What do a man in a red jacket hold?	a microphone
20496-johnbapt.jpg	a woman in a dress standing next to a tree			
		a woman in a dress stand next to a tree	What do a woman in a dress stand next to?	to a tree
		a woman in a dress stand next to a tree	Who stand next to a tree?	a woman in a dress
39139-06zianig1.jpg	a painting of a man and a dog in a boat			
18354-1505grec.jpg	a statue of a man standing next to a man			
		a statue of a man stand next to a man	What stand next to a man?	a statue of a man
		a statue of a man stand next to a man	Who do a statue of a man stand next to?	to a man
19703-fermor.jpg	a man in a vest is standing in the dark			
		a man in a vest is standing in the dark	What is a man in a vest standing in?	in the dark
		a man in a vest is standing in the dark	Who is standing in the dark?	a man in a vest
39175-11valma.jpg	a couple of women standing in front of a painting			
		a couple of women stand in front of a painting	What do a couple of women stand in?	in front of a painting
		a couple of women stand in front of a painting	What stand in front of a painting?	a couple of women
06175-00altar.jpg	a painting of a woman standing next to a building			
		a painting of a woman stand next to a building	What do a painting of a woman stand next to?	to a building
		a painting of a woman stand next to a building	What stand next to a building?	a painting of a woman
21024-portrai2.jpg	a black and white photo of a woman in a dress			
29679-king_asa.jpg	a very tall building with a clock on it			
03984-bello212.jpg	a view of a city with a city in the background			
14180-075game.jpg	a group of people sitting on top of a lush green field			
		a group of people sit on top of a lush green field	What sit on top of a lush green field?	a group of people
		a group of people sit on top of a lush green field	What do a group of people sit on?	on top of a lush green field
		a group of people sit on top of a lush green field	Where do a group of people sit?	on top of a lush green field
44188-sideways.jpg	a woman standing next to a woman in a costume			
		a woman stand next to a woman in a costume	Who do a woman stand next to?	to a woman in a costume
		a woman stand next to a woman in a costume	Who stand next to a woman in a costume?	a woman
33474-07mythol.jpg	a picture of a woman and a dog			
08727-peace.jpg	a group of people sitting on top of a rock			
		a group of people sit on top of a rock	What sit on top of a rock?	a group of people
		a group of people sit on top of a rock	What do a group of people sit on?	on top of a rock
		a group of people sit on top of a rock	Where do a group of people sit?	on top of a rock
14736-judith.jpg	a couple of people standing next to each other			
		a couple of people stand next to each other	What stand next to each other?	a couple of people
		a couple of people stand next to each other	What do a couple of people stand next to?	to each other
00744-11fieso1.jpg	a picture of a painting on a wall			
15026-marque09.jpg	a group of people riding horses on a beach			
11126-early17.jpg	a group of women standing next to each other			
		a group of women stand next to each other	What do a group of women stand next to?	to each other
		a group of women stand next to each other	What stand next to each other?	a group of women
37617-merchant.jpg	an old woman sitting on the ground next to a tree			
		an old woman sit on the ground next to a tree	What do an old woman sit on the ground next to?	to a tree
		an old woman sit on the ground next to a tree	Who sit on the ground next to a tree?	an old woman
38079-soldiers.jpg	a group of people sitting on top of a stone wall			
		a group of people sit on top of a stone wall	What sit on top of a stone wall?	a group of people
		a group of people sit on top of a stone wall	What do a group of people sit on?	on top of a stone wall
		a group of people sit on top of a stone wall	Where do a group of people sit?	on top of a stone wall
33394-15newtet.jpg	a stone building with statues and statues			
17904-2resting.jpg	a group of people sitting on top of a hill			
		a group of people sit on top of a hill	What sit on top of a hill?	a group of people
		a group of people sit on top of a hill	What do a group of people sit on?	on top of a hill
		a group of people sit on top of a hill	Where do a group of people sit?	on top of a hill
23878-4manet16.jpg	a couple of men sitting next to each other			
		a couple of men sit next to each other	What sit next to each other?	a couple of men
		a couple of men sit next to each other	What do a couple of men sit next to?	to each other
23177-15monaco.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
06150-the_port.jpg	a boat that is sitting in the dirt			
		a boat that is sit in the dirt	What sit in the dirt?	a boat that is
		a boat that is sit in the dirt	What do a boat that is sit in?	in the dirt
44087-10woman.jpg	a woman wearing a hat and a hat			
		a woman wear a hat and a hat	Who wear a hat and a hat?	a woman
		a woman wear a hat and a hat	What do a woman wear?	a hat and a hat
18796-lagoon.jpg	a picture of an old building in the water			
07940-holyhous.jpg	a group of people standing on top of a rock			
		a group of people stand on top of a rock	What do a group of people stand on?	on top of a rock
		a group of people stand on top of a rock	Where do a group of people stand?	on top of a rock
		a group of people stand on top of a rock	What stand on top of a rock?	a group of people
37528-3present.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
10438-cainabel.jpg	a man sitting on the floor next to a man			
		a man sit on the floor next to a man	Who sit on the floor next to a man?	a man
		a man sit on the floor next to a man	Who do a man sit on the floor next to?	to a man
07916-hunting.jpg	a group of people standing around a pile of animals			
		a group of people stand around a pile of animals	What do a group of people stand around?	around a pile of animals
		a group of people stand around a pile of animals	What stand around a pile of animals?	a group of people
23839-2manet18.jpg	a couple of women standing next to each other			
		a couple of women stand next to each other	What stand next to each other?	a couple of women
		a couple of women stand next to each other	What do a couple of women stand next to?	to each other
14221-clare6.jpg	a woman standing in front of a building			
		a woman stand in front of a building	What do a woman stand in?	in front of a building
		a woman stand in front of a building	Who stand in front of a building?	a woman
03202-eucharis.jpg	a group of people standing in a room			
		a group of people stand in a room	What stand in a room?	a group of people
		a group of people stand in a room	What do a group of people stand in?	in a room
05999-governor.jpg	a group of people sitting around each other			
		a group of people sit around each other	What do a group of people sit around?	each other
		a group of people sit around each other	What sit around each other?	a group of people
20092-19hooch.jpg	a group of people sitting around a table			
		a group of people sit around a table	What do a group of people sit around?	around a table
		a group of people sit around a table	What sit around a table?	a group of people
25150-anthony1.jpg	a painting of a woman and an umbrella			
23421-thomas4.jpg	a painting of a person sitting in a room			
		a painting of a person sit in a room	What do a painting of a person sit in?	in a room
		a painting of a person sit in a room	What sit in a room?	a painting of a person
17208-olive10.jpg	a tree that has a tree in it			
32062-cremona1.jpg	a group of people on horses in a museum			
31787-mansorro.jpg	a man with a beard and a white shirt			
17006-nuenen21.jpg	a man is sitting on the back of a suitcase			
		a man is sitting on the back of a suitcase	Who is sitting on the back of a suitcase?	a man
		a man is sitting on the back of a suitcase	What is a man sitting on?	on the back of a suitcase
41978-clouds.jpg	a view of a beach with a mountain in the background			
42767-00view.jpg	a building with a clock on the front of it			
13125-interior.jpg	a woman standing in front of a large window			
		a woman stand in front of a large window	What do a woman stand in?	in front of a large window
		a woman stand in front of a large window	Who stand in front of a large window?	a woman
21460-census.jpg	a group of people sitting around a table with a dog			
		a group of people sit around a table with a dog	What do a group of people sit around a table with?	with a dog
		a group of people sit around a table with a dog	What sit around a table with a dog?	a group of people
		a group of people sit around a table with a dog	What do a group of people sit around with a dog?	around a table
29281-213muril.jpg	a woman sitting on a couch holding a baby			
		a woman sit on a couch holding a baby	Who sit on a couch holding a baby?	a woman
		a woman sit on a couch holding a baby	Who do a woman sit on a couch holding?	a baby
43263-landscap.jpg	a couple of people riding horses down a road			
05225-20right.jpg	a bunch of animals that are on display			
05524-20pallas.jpg	a woman sitting on the back of a horse			
		a woman sit on the back of a horse	Who sit on the back of a horse?	a woman
		a woman sit on the back of a horse	What do a woman sit on?	on the back of a horse
13141-flight_e.jpg	a group of people riding on the back of a boat			
31479-nativity.jpg	a group of people that are standing around			
		a group of people that are stand around	What stand around?	a group of people that are
12275-verso18.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
29999-stillifx.jpg	a wooden table topped with a pair of scissors			
		a wooden table topped with a pair of scissors	What topped with a pair of scissors?	a wooden table
		a wooden table topped with a pair of scissors	What did a wooden table top with?	with a pair of scissors
24094-3christ.jpg	a man in a red shirt is looking at a laptop			
		a man in a red shirt is looking at a laptop	Who is looking at a laptop?	a man in a red shirt
		a man in a red shirt is looking at a laptop	What is a man in a red shirt looking at?	at a laptop
26191-thomas.jpg	a painting of a man sitting on a bed			
		a painting of a man sit on a bed	What do a painting of a man sit on?	on a bed
		a painting of a man sit on a bed	What sit on a bed?	a painting of a man
36317-angelapp.jpg	a couple of people standing next to a large tree			
		a couple of people stand next to a large tree	What stand next to a large tree?	a couple of people
		a couple of people stand next to a large tree	What do a couple of people stand next to?	to a large tree
41174-z_ag.jpg	a man wearing a hat and holding a hat			
		a man wear a hat and holding a hat	Who wear a hat and holding a hat?	a man
17094-1arles06.jpg	a large body of water next to a river			
43147-elegant.jpg	a woman in a dress holding a umbrella			
		a woman in a dress hold a umbrella	What do a woman in a dress hold?	a umbrella
		a woman in a dress hold a umbrella	Who hold a umbrella?	a woman in a dress
09228-descent.jpg	a picture of a man and a woman			
00096-stilfrui.jpg	a bunch of flowers in a dark room			
19065-banquet1.jpg	a group of people standing around a table full of food			
		a group of people stand around a table full of food	What stand around a table full of food?	a group of people
		a group of people stand around a table full of food	What do a group of people stand around?	around a table full of food
09449-youngman.jpg	a woman holding a tie in her hands			
		a woman hold a tie in her hands	What do a woman hold a tie in?	in her hands
17056-paris06.jpg	a group of people standing outside of a building			
		a group of people stand outside of a building	What stand outside of a building?	a group of people
29247-101muril.jpg	a man sitting on the ground next to a vase			
		a man sit on the ground next to a vase	What do a man sit on the ground next to?	to a vase
		a man sit on the ground next to a vase	Who sit on the ground next to a vase?	a man
