img	comment	related text	question	answer
06150-the_port.jpg	a boat that is sitting in the dirt			
06337-01games.jpg	a large group of people standing around a building			
12231-pre_v_6.jpg	a painting of a woman standing next to a statue			
34314-maruce14.jpg	a painting of a <unk> with a bunch of statues			
16788-2north3.jpg	a statue of a man sitting on top of a sign			
00907-armadio1.jpg	a clock on the side of a building			
35455-02samson.jpg	a group of people sitting on a couch			
23066-7michael.jpg	a large painting of a painting on a wall			
38536-2allegor.jpg	a group of people standing next to each other			
39685-09grima0.jpg	a group of people standing next to a statue			
11580-bardi.jpg	a man is standing in front of a building			
		a man is standing in front of a building	Who is standing in front of a building?	a man
		a man is standing in front of a building	What is a man standing in?	in front of a building
29759-stillute.jpg	a close up of a pair of scissors on a table			
32312-10thehol.jpg	a group of people sitting on a bed			
08819-andrew.jpg	a group of people sitting on top of a horse			
38079-soldiers.jpg	a group of people sitting on top of a stone wall			
39967-07early.jpg	a statue of a man sitting on top of a rock			
29248-102muril.jpg	a man holding a plate of food on a sidewalk			
00410-2christ2.jpg	a group of people standing next to each other			
34943-15french.jpg	a clock on the side of a wall			
37099-predell4.jpg	a group of people standing next to each other			
44173-ships.jpg	a group of people standing on top of a wooden boat			
30557-nessus_d.jpg	a couple of women standing next to each other			
09908-courb412.jpg	a large building with a mountain in the background			
09618-ganymede.jpg	a dog that is jumping in the air			
06117-colosseu.jpg	a black and white photo of a large building			
03654-skating.jpg	a large group of people walking across a river			
11126-early17.jpg	a group of women standing next to each other			
19908-06henry8.jpg	a man wearing a red shirt and a tie			
24621-ecce_hom.jpg	a couple of men standing next to each other			
39441-5maggio0.jpg	a painting of a group of people in a room			
39175-11valma.jpg	a couple of women standing in front of a painting			
42767-00view.jpg	a building with a clock on the front of it			
21857-fountain.jpg	a group of people standing near a fountain			
41105-07passio.jpg	a large group of people in a room			
39300-02ceilin.jpg	a man laying in a bed with a child			
44666-firenze1.jpg	a large building with people walking around it			
00460-princess.jpg	a woman and a child are laying in bed			
		a woman and a child are laying in bed	What are a woman and a child laying in?	in bed
		a woman and a child are laying in bed	Who are laying in bed?	a woman and a child
34689-grif_05.jpg	a man standing in front of a metal fence			
31361-shipwrec.jpg	a large brown bear standing in the water			
07531-29ceras.jpg	a man laying on the back of a brown horse			
12402-gluck.jpg	a man in a suit sitting in a chair			
17904-2resting.jpg	a group of people sitting on top of a hill			
07560-42loretx.jpg	a large clock mounted to the side of a building			
		a large clock mounted to the side of a building	Where did a large clock mount?	to the side of a building
		a large clock mounted to the side of a building	What did a large clock mount to?	to the side of a building
		a large clock mounted to the side of a building	What mounted to the side of a building?	a large clock
34137-stjerome.jpg	an old man sitting on a bed holding a book			
39633-4redeeme.jpg	a man with a beard is holding a black dog			
		a man with a beard is holding a black dog	What is a man with a beard holding?	a black dog
		a man with a beard is holding a black dog	Who is holding a black dog?	a man with a beard
43147-elegant.jpg	a woman in a dress holding a umbrella			
00431-4seasons.jpg	a group of people sitting on top of a sandy beach			
41316-02cruci0.jpg	a clock on the wall of a building			
30165-parrots.jpg	a bunch of birds that are sitting in a window			
04406-bacchant.jpg	a couple of people laying on top of a bed			
31810-4moonlig.jpg	a black and white photo of a house			
32888-0eliodo.jpg	a group of people standing in front of a building			
22717-5funeral.jpg	a large painting of a man and a woman			
36026-1still.jpg	a bunch of fruits and vegetables on a table			
21460-census.jpg	a group of people sitting around a table with a dog			
22311-02beerga.jpg	a group of people sitting around a wooden bench			
29702-clearing.jpg	a person standing in a forest next to a forest			
22927-00moros.jpg	a large building with a statue of statues on it			
03445-14adorat.jpg	a group of people standing next to each other			
41100-022pieta.jpg	a close up of a person wearing a mask			
03202-eucharis.jpg	a group of people standing in a room			
08509-1lands09.jpg	a large rock in front of a body of water			
24586-judith.jpg	a man standing next to a man in a suit			
30092-ztriptic.jpg	a large wooden clock with a painting on it			
05225-20right.jpg	a bunch of animals that are on display			
07618-70david.jpg	a man and a woman standing in a dark room			
41536-dog_cat.jpg	a group of dogs laying on top of each other			
04656-01ancien.jpg	a dog that is standing on top of a couch			
43739-escape.jpg	a painting of a rock in the water			
40026-brothe09.jpg	a woman standing in front of a wall with a painting on it			
42288-0706vela.jpg	a woman in a white shirt and a white shirt			
31479-nativity.jpg	a group of people that are standing around			
30363-polyptic.jpg	a large ornate clock on the side of a building			
09842-courb1051.jpg	a group of men riding horses down a dirt road			
24130-1christ.jpg	a little boy sitting next to a little boy			
38206-merchant.jpg	a woman sitting on a chair in a room			
27165-spring.jpg	a man standing in front of a tree			
21671-seguier.jpg	a group of people standing under an umbrella			
41884-vendra07.jpg	a large white building with a large painting			
15866-paris2.jpg	a group of people that are in a room			
19612-saints.jpg	a woman standing in front of a building			
06802-madonna.jpg	a woman sitting next to a little boy			
12347-versavel.jpg	a woman standing in front of a large building			
24062-2sposi11.jpg	a vase sitting on the side of a wall			
23912-wed_cana.jpg	a group of people standing around a table			
29449-gothic1.jpg	a large building with people walking around it			
22750-1selfpor.jpg	a black and white photo of a woman sitting on a bed			
04578-pendant2.jpg	a woman holding a pair of scissors in her hands			
03575-09reale.jpg	a painting of a person on a wall			
31409-3adorat.jpg	a group of people standing in front of a building			
37528-3present.jpg	a group of people standing next to each other			
38065-old_woma.jpg	a man is sitting on the floor with his hands			
		a man is sitting on the floor with his hands	Who is sitting on the floor with his hands?	a man
		a man is sitting on the floor with his hands	What is a man sitting on the floor with?	with his hands
		a man is sitting on the floor with his hands	What is a man sitting on with his hands?	on the floor
06013-regents.jpg	a group of people sitting around a couch			
08727-peace.jpg	a group of people sitting on top of a rock			
25064-coronati.jpg	a woman holding a teddy bear in her hands			
28474-mountai.jpg	a view of a mountain with a mountain in the background			
19976-2melanch.jpg	a portrait of a man sitting in front of a clock			
28398-battle.jpg	a group of people sitting on top of a bed			
14635-2north7.jpg	a group of people standing next to each other			
43423-girardon.jpg	a woman is sitting in front of a man			
		a woman is sitting in front of a man	Who is sitting in front of a man?	a woman
		a woman is sitting in front of a man	What is a woman sitting in?	in front of a man
02483-2busts3.jpg	a woman wearing a hat and a black dress			
15336-wisdom.jpg	a painting of a man sitting on top of a bed			
35854-seascape.jpg	a sail boat with a sail boat in the background			
10747-peasant.jpg	a statue of a woman sitting on a statue			
30887-lastsu.jpg	a group of people standing in front of a building			
42791-1sacris.jpg	a couple of people that are sitting on a bed			
31217-08resur1.jpg	a statue of a man standing next to a statue			
06611-tobias.jpg	a large group of people standing in front of a river			
03529-dessert.jpg	a wooden table topped with a lamp and a lamp			
		a wooden table topped with a lamp and a lamp	What topped with a lamp and a lamp?	a wooden table
		a wooden table topped with a lamp and a lamp	What did a wooden table top with?	with a lamp and a lamp
16615-coronati.jpg	a large ornate building with a clock on it			
32779-21graces.jpg	a couple of women standing next to each other			
07505-23conta0.jpg	a group of people sitting around a table in a dark room			
23508-annuncia.jpg	a woman standing next to a stone wall			
39651-6eccehom.jpg	a close up of a person with a dog			
24094-3christ.jpg	a man in a red shirt is looking at a laptop			
		a man in a red shirt is looking at a laptop	Who is looking at a laptop?	a man in a red shirt
		a man in a red shirt is looking at a laptop	What is a man in a red shirt looking at?	at a laptop
18360-1511grec.jpg	an image of a man in a black suit			
29247-101muril.jpg	a man sitting on the ground next to a vase			
01072-david1.jpg	a woman standing on top of a bed with sheep			
11677-4west.jpg	a large cathedral with a large clock on it			
20150-concert1.jpg	a group of people standing in front of a building			
28735-crucifix.jpg	a painting of a group of people and horses			
22219-virgin_c.jpg	a group of children sitting in front of a clock			
13125-interior.jpg	a woman standing in front of a large window			
19668-damsquar.jpg	a large church with a dog on the back			
17121-arles43.jpg	a painting of a man standing next to a table			
24529-01olona.jpg	a large stone building with a vase on it			
20019-birdspax.jpg	a group of birds that are standing on the ground			
13627-04ferenc.jpg	a group of people standing around a building			
41333-044virgi.jpg	a statue of a man sitting on a couch			
42991-5venus_a.jpg	a woman standing next to a bunch of animals			
25985-05nativi.jpg	a man and a woman standing next to each other			
09549-corot05.jpg	a view of a church with a church in the background			
30901-onofrio.jpg	a large clock is displayed in a large building			
		a large clock is displayed in a large building	What is a large clock displayed in?	in a large building
		a large clock is displayed in a large building	What is displayed in a large building?	a large clock
41385-09altar.jpg	a painting of a man standing next to a clock			
43085-estuary.jpg	a boat that is floating in the water			
41398-14deposi.jpg	a painting of a couple sitting in front of a wall			
40900-11lament.jpg	a group of people standing next to each other			
21480-annuncia.jpg	a group of people standing in a room			
23619-hermit.jpg	a statue of a man standing next to a rock			
22936-03tailor.jpg	a black and white photo of people sitting on a couch			
03611-72rebel2.jpg	a group of people standing next to a stone wall			
39630-2rabbit.jpg	a group of people sitting on top of a bed			
33346-musician.jpg	a man sitting on a bed reading a book			
41189-zsigismu.jpg	a man in a costume and a costume			
19681-veere.jpg	a group of people standing in front of a church			
17177-1asylu10.jpg	a large green tree in the middle of a field			
06640-stilltul.jpg	a vase filled with flowers on a wooden table			
		a vase filled with flowers on a wooden table	What do a vase fill with?	with flowers on a wooden table
		a vase filled with flowers on a wooden table	What filled with flowers on a wooden table?	a vase
08285-virgin_c.jpg	a group of people sitting on a couch			
20673-courtyar.jpg	a group of people standing in front of a building			
09303-vanitas9.jpg	a stack of books sitting on top of a table			
31787-mansorro.jpg	a man with a beard and a white shirt			
32652-class.jpg	a group of people standing around each other			
22644-07meetin.jpg	a couple of women standing next to a statue			
32991-2scenes.jpg	a room with a painting on the wall			
43393-f_virgi.jpg	a picture of a man standing in front of a clock			
44383-winterla.jpg	a group of people riding in the water			
08974-vanitas0.jpg	a painting of a cow sitting on top of a table			
17983-07scene.jpg	a group of people standing next to each other			
03815-098ecsta.jpg	a man standing next to a stone wall			
00683-vallomb2.jpg	a man standing next to a statue of a man			
23177-15monaco.jpg	a group of people standing next to each other			
38730-barbara.jpg	a statue of a person in a costume			
22636-06annunc.jpg	a group of people standing in front of a building			
17288-selfpo15.jpg	a close up of a person wearing a suit and tie			
11463-landscap.jpg	a bunch of plants that are on a table			
44769-st_hugo.jpg	a group of people standing around a table eating food			
09689-galleri2.jpg	a clock that is on top of a wall			
26191-thomas.jpg	a painting of a man sitting on a bed			
08978-00landsc.jpg	a group of people standing next to a river			
07612-65lazar.jpg	a group of people standing around a group of elephants			
44188-sideways.jpg	a woman standing next to a woman in a costume			
07978-farnes23.jpg	a group of statues sitting next to a statue			
25257-madonna1.jpg	a group of people sitting next to each other			
32138-husherd.jpg	a herd of cattle standing on top of a grass covered field			
36769-diptych3.jpg	a statue of a shirtless man in the dark			
37110-scene23.jpg	a group of people standing in front of a window			
25050-altarpie.jpg	a group of people standing next to each other			
24010-zeno1p.jpg	a group of people standing next to a wall			
05290-4lastjud.jpg	an old photo of a woman holding a bat			
09342-viewdelf.jpg	a large building with people walking around it			
35493-26mytho.jpg	a group of people standing next to each other			
23878-4manet16.jpg	a couple of men sitting next to each other			
13074-nude_mod.jpg	a man laying on the ground with his arms crossed			
		a man laying on the ground with his arms crossed	Who crossed?	a man laying on the ground with his arms
35851-riverfis.jpg	a group of people in boats on a river			
28417-tavern.jpg	a group of people sitting in front of a building			
27101-man_pipe.jpg	a man wearing a hat and a tie			
30305-expulsio.jpg	a group of people standing in front of a church			
13579-4invita2.jpg	a group of people standing next to each other			
14208-medici.jpg	a large group of people standing in a building			
16717-portcath.jpg	a man wearing a black jacket and a black jacket			
13061-boardman.jpg	a man standing in front of a stack of baskets			
42741-petition.jpg	a group of people riding horses down a dirt road			
39139-06zianig1.jpg	a painting of a man and a dog in a boat			
39672-11madonc.jpg	a woman sitting on a couch next to a baby			
05524-20pallas.jpg	a woman sitting on the back of a horse			
35251-3madenth.jpg	a group of people sitting on a stage			
09139-diane1.jpg	a group of people sitting around a table			
37479-market2.jpg	a group of people that are sitting on a table			
44753-dwarf.jpg	a man standing next to a cow next to a man			
		a man standing next to a cow next to a man	Who a man standing next to a cow next to?	to a man
		a man standing next to a cow next to a man	Who standing next to a cow next to a man?	a man
		a man standing next to a cow next to a man	What a man standing next to next to a man?	to a cow
20700-portman.jpg	a man in a black shirt and black tie			
39275-2cana.jpg	a large group of people in a room			
33474-07mythol.jpg	a picture of a woman and a dog			
08053-young_m.jpg	a woman in a dress standing next to a child			
22497-41jerome.jpg	a statue of a horse and a brown elephant			
19703-fermor.jpg	a man in a vest is standing in the dark			
		a man in a vest is standing in the dark	What is a man in a vest standing in?	in the dark
		a man in a vest is standing in the dark	Who is standing in the dark?	a man in a vest
38218-gallopin.jpg	a man riding on the back of a brown horse			
15026-marque09.jpg	a group of people riding horses on a beach			
05427-02madonn.jpg	a statue of a woman in a costume			
35497-282mytho.jpg	a group of men standing next to each other			
07559-42loreto.jpg	a man sitting on a bench with a child			
30805-pieta.jpg	a group of people sitting around a building			
35043-woodedla.jpg	a tree in the middle of a forest			
03459-moses.jpg	a group of people standing around a group of horses			
26593-08_3ce8.jpg	a couple of people that are laying down			
29281-213muril.jpg	a woman sitting on a couch holding a baby			
37887-virgin_c.jpg	a group of people standing in a room			
22538-2assump1.jpg	a group of people standing around a stone wall			
25162-vittore1.jpg	a statue of a man in a dress and tie			
09070-babel.jpg	a group of people standing in front of a building			
23565-eavesdr.jpg	a woman is standing in front of a building			
		a woman is standing in front of a building	Who is standing in front of a building?	a woman
		a woman is standing in front of a building	What is a woman standing in?	in front of a building
31472-1ceiling.jpg	a large building with a large clock on the wall			
17762-413goya.jpg	a woman is standing next to a statue			
		a woman is standing next to a statue	What is a woman standing next to?	to a statue
		a woman is standing next to a statue	Who is standing next to a statue?	a woman
36741-kingjohn.jpg	a man in a red jacket holding a microphone			
29994-partridg.jpg	a couple of dogs that are standing in the grass			
33382-05newtes.jpg	a man sitting on a couch reading a book			
33338-genius.jpg	a group of people standing on top of elephants			
24437-distrib.jpg	a group of people standing next to a building			
26066-17rein4.jpg	a picture of a woman in a dress			
04538-stia_tri.jpg	a picture of a man standing next to a clock			
23336-03young.jpg	a man wearing a black hat and a hat			
38631-witches.jpg	a group of people sitting in a dark room			
16587-2pitti.jpg	a large stone building with a painting on the wall			
00246-virgin.jpg	a young boy sitting on top of a wooden chair			
34050-2renoi30.jpg	a woman sitting next to a girl in a chair			
21165-port_man.jpg	a man wearing a hat and a hat			
36492-coral.jpg	a group of people playing with a dog on a beach			
06859-portrait.jpg	a woman wearing a hat and a hat			
29332-candllit.jpg	a group of people that are standing in a room			
14715-101perdi.jpg	a woman sitting next to a dog and a tree			
21149-schmadri.jpg	a mountain with a mountain in the background			
26376-river_la.jpg	a couple of people standing next to a tree			
34124-architec.jpg	a man in a black jacket talking on a cell phone			
31862-adultere.jpg	a group of people standing next to each other			
32499-mysticma.jpg	a group of people sitting on a couch			
26550-1chapel2.jpg	a large building with a lot of windows on it			
24532-03olona.jpg	a person standing next to a stone wall with a statue of a cow			
24436-baptism.jpg	a group of people standing next to each other			
18898-stanthon.jpg	a man reading a book on a bed			
22787-adorat.jpg	a group of people standing in front of a building			
27091-cavalier.jpg	a woman wearing a hat and a hat sitting in a chair			
12275-verso18.jpg	a group of people standing next to each other			
31080-3anton10.jpg	a couple of women standing next to each other			
29999-stillifx.jpg	a wooden table topped with a pair of scissors			
		a wooden table topped with a pair of scissors	What topped with a pair of scissors?	a wooden table
		a wooden table topped with a pair of scissors	What did a wooden table top with?	with a pair of scissors
13433-2holzhau.jpg	a man and a woman standing next to each other			
07919-magdalen.jpg	a woman sitting on a bench talking on a cell phone			
11410-fields.jpg	a view of a field with a mountain in the background			
22580-3rules.jpg	a group of people standing next to a wall			
34401-louisxiv.jpg	a man standing next to a brown horse			
19065-banquet1.jpg	a group of people standing around a table full of food			
08965-stillif3.jpg	a table that has some food on it			
36733-triumph.jpg	a group of people riding on the backs of elephants			
42398-goeree.jpg	a bunch of boats that are sitting in the water			
41979-farnese.jpg	a large house with a tree in front of it			
09449-youngman.jpg	a woman holding a tie in her hands			
07940-holyhous.jpg	a group of people standing on top of a rock			
34475-1virgin.jpg	a group of people sitting on top of a building			
07174-canal218.jpg	an old church with a castle in the background			
18240-0601grec.jpg	a man in a black jacket is talking on a cell phone			
		a man in a black jacket is talking on a cell phone	Who is talking on a cell phone?	a man in a black jacket
		a man in a black jacket is talking on a cell phone	What is a man in a black jacket talking on?	on a cell phone
10941-canon.jpg	a group of people standing next to each other			
41978-clouds.jpg	a view of a beach with a mountain in the background			
31112-3burial1.jpg	a couple of people standing next to each other			
25948-flora1.jpg	a woman sitting on a couch holding a piece of paper			
31840-ruinrome.jpg	a group of people walking down a street			
14185-09letter.jpg	a woman and a dog in front of a mirror			
42943-2ceilin1.jpg	a group of people standing next to each other			
26732-lu14ami.jpg	an old picture of a woman and a woman			
35102-democrix.jpg	a dog sitting in front of a tree			
23583-port_wom.jpg	a man in a suit and bow tie			
23969-2chris06.jpg	a group of people standing in front of a building			
20578-company5.jpg	a group of people sitting on the ground next to trees			
44454-hunting.jpg	a group of horses that are in a field			
03984-bello212.jpg	a view of a city with a city in the background			
17094-1arles06.jpg	a large body of water next to a river			
39734-01sisyph.jpg	a man with a beard and a brown shirt is holding a dog			
		a man with a beard and a brown shirt is holding a dog	Who is holding a dog?	a man with a beard and a brown shirt
		a man with a beard and a brown shirt is holding a dog	What is a man with a beard and a brown shirt holding?	a dog
10226-1venus01.jpg	an image of a woman with a baby			
42809-3baptist.jpg	a group of people standing next to each other			
37785-00view.jpg	a large building with a large clock on it			
03175-apotheos.jpg	a painting of a man sitting on top of a vase			
26070-19coin.jpg	a man wearing a hat and holding a hat			
29490-breakfas.jpg	a little girl sitting in front of a mirror			
21200-extensiv.jpg	a group of people standing next to a river			
42325-agony_ga.jpg	a couple of women sitting on top of a couch			
17259-auvers19.jpg	a garden with flowers and plants in it			
37002-thewager.jpg	an old photo of a woman and a dog			
44278-9rome.jpg	a large body of water with many boats in it			
28430-winterla.jpg	a group of people standing around a house			
21450-tigerhun.jpg	a group of animals standing next to a tree			
08530-1lands04.jpg	a mountain with a mountain in the background			
42460-virgin_c.jpg	a painting of a flower arrangement in a vase			
05262-18mocked.jpg	a man and woman dressed in costumes and a dog			
		a man and woman dressed in costumes and a dog	Who dressed in costumes and a dog?	a man and woman
		a man and woman dressed in costumes and a dog	What do a man and woman dress in?	in costumes and a dog
21427-camargo1.jpg	a group of people standing in the middle of a forest			
13141-flight_e.jpg	a group of people riding on the back of a boat			
18064-09scene.jpg	a group of people standing next to a building			
40882-04scenes.jpg	a group of people sitting on a beach			
13714-2assunt2.jpg	a group of people standing next to each other			
16997-nuenen12.jpg	a close up of a person wearing a hat			
17110-3arles24.jpg	a river with trees and trees in the background			
42838-07cruci1.jpg	a group of people standing next to a horse			
19032-italland.jpg	a body of water next to a forest filled with trees			
28483-winter_l.jpg	a herd of horses standing next to a forest			
06143-mountain.jpg	a picture of a waterfall with a waterfall in the background			
21340-selfport.jpg	a group of people sitting on top of a bed			
19792-elect01.jpg	a group of people sitting around a table			
00744-11fieso1.jpg	a picture of a painting on a wall			
18944-03poly.jpg	a painting of a woman standing next to a building			
34454-10rippl.jpg	a close up of a person wearing a jacket			
17056-paris06.jpg	a group of people standing outside of a building			
03454-lastsupp.jpg	a large group of people sitting around a table			
29703-classica.jpg	a couple of people standing next to a fountain			
30938-stillif2.jpg	a close up of a bowl of fruit on a table			
33425-68newtes.jpg	a couple of people standing next to each other			
17975-00wall1.jpg	a painting of a painting on the side of a building			
04018-triptyc2.jpg	a wooden clock with a painting on it			
21768-terpsich.jpg	a woman sitting on top of a red blanket			
15572-5donor.jpg	a statue of a man standing next to a building			
44685-madonna.jpg	a group of people standing next to each other			
14736-judith.jpg	a couple of people standing next to each other			
04108-italian.jpg	a group of people riding horses down a dirt road			
12499-12krel1.jpg	a woman wearing a black jacket and a black jacket			
34274-venus_ad.jpg	a group of people riding on the backs of horses			
37617-merchant.jpg	an old woman sitting on the ground next to a tree			
06175-00altar.jpg	a painting of a woman standing next to a building			
08691-12attric.jpg	a statue of a man sitting in a room			
41174-z_ag.jpg	a man wearing a hat and holding a hat			
13927-tronie.jpg	a woman in a dress and a brown dress			
