img	caption	sentence
19668-damsquar.jpg	a large church with a dog on the back	a large church with a dog on the back
07531-29ceras.jpg	a man laying on the back of a brown horse	a man lay on the back of a brown horse
42288-0706vela.jpg	a woman in a white shirt and a white shirt	a woman in a white shirt and a white shirt
13714-2assunt2.jpg	a group of people standing next to each other	a group of people stand next to each other
18856-ermina.jpg	a group of people that are in the water	a group of people that are in the water
13070-brigsail.jpg	a sailboat in the ocean with clouds in the background	a sailboat in the ocean with clouds in the background
19976-2melanch.jpg	a portrait of a man sitting in front of a clock	a portrait of a man sit in front of a clock
36004-orator01.jpg	a painting of a painting on a wall	a painting of a painting on a wall
37002-thewager.jpg	an old photo of a woman and a dog	an old photo of a woman and a dog
24586-judith.jpg	a man standing next to a man in a suit	a man stand next to a man in a suit
40298-104turne.jpg	a large rock with a rock in the background	a large rock with a rock in the background
44383-winterla.jpg	a group of people riding in the water	a group of people rid in the water
15822-spaniel3.jpg	a brown and white dog and a brown and white dog	a brown and white dog and a brown and white dog
14039-altarpie.jpg	a large building with a painting on it	a large building with a painting on it
27165-spring.jpg	a man standing in front of a tree	a man stand in front of a tree
06117-colosseu.jpg	a black and white photo of a large building	a black and white photo of a large building
42902-2loggia3.jpg	a painting of a man in front of a window with a painting on it	a painting of a man in front of a window with a painting on it
19681-veere.jpg	a group of people standing in front of a church	a group of people stand in front of a church
20700-portman.jpg	a man in a black shirt and black tie	a man in a black shirt and black tie
35854-seascape.jpg	a sail boat with a sail boat in the background	a sail boat with a sail boat in the background
14032-mystic_m.jpg	a group of people sitting on top of horses	a group of people sit on top of horses
23015-portrai1.jpg	a man in a black jacket and a red shirt and a red shirt	a man in a black jacket and a red shirt and a red shirt
09549-corot05.jpg	a view of a church with a church in the background	a view of a church with a church in the background
24710-salver.jpg	a painting of a painting of a painting on a wall	a painting of a painting of a painting on a wall
06749-burgomas.jpg	a woman wearing a hat holding a cell phone	a woman wear a hat holding a cell phone
29332-candllit.jpg	a group of people that are standing in a room	a group of people that are stand in a room
32499-mysticma.jpg	a group of people sitting on a couch	a group of people sit on a couch
34943-15french.jpg	a clock on the side of a wall	a clock on the side of a wall
21768-terpsich.jpg	a woman sitting on top of a red blanket	a woman sit on top of a red blanket
31894-altar_3s.jpg	a group of people standing around each other	a group of people stand around each other
42943-2ceilin1.jpg	a group of people standing next to each other	a group of people stand next to each other
30887-lastsu.jpg	a group of people standing in front of a building	a group of people stand in front of a building
34124-architec.jpg	a man in a black jacket talking on a cell phone	a man in a black jacket talk on a cell phone
39441-5maggio0.jpg	a painting of a group of people in a room	a painting of a group of people in a room
39633-4redeeme.jpg	a man with a beard is holding a black dog	a man with a beard is hold a black dog
17121-arles43.jpg	a painting of a man standing next to a table	a painting of a man stand next to a table
14185-09letter.jpg	a woman and a dog in front of a mirror	a woman and a dog in front of a mirror
04656-01ancien.jpg	a dog that is standing on top of a couch	a dog that is stand on top of a couch
35102-democrix.jpg	a dog sitting in front of a tree	a dog sit in front of a tree
06892-armeria.jpg	a painting on the wall of a room	a painting on the wall of a room
13628-05ferenc.jpg	a man in a suit and tie in a dark room	a man in a suit and tie in a dark room
31943-05visdom.jpg	a group of people sitting on top of a bed	a group of people sit on top of a bed
09139-diane1.jpg	a group of people sitting around a table	a group of people sit around a table
24648-grabow5.jpg	a group of people sitting in a room	a group of people sit in a room
06859-portrait.jpg	a woman wearing a hat and a hat	a woman wear a hat and a hat
24173-adoratio.jpg	a large group of people sitting on a couch	a large group of people sit on a couch
37785-00view.jpg	a large building with a large clock on it	a large building with a large clock on it
07560-42loretx.jpg	a large clock mounted to the side of a building	a large clock mounted to the side of a building
36391-4borgo4.jpg	a picture of a woman in a dress	a picture of a woman in a dress
21149-schmadri.jpg	a mountain with a mountain in the background	a mountain with a mountain in the background
07505-23conta0.jpg	a group of people sitting around a table in a dark room	a group of people sit around a table in a dark room
24529-01olona.jpg	a large stone building with a vase on it	a large stone building with a vase on it
41105-07passio.jpg	a large group of people in a room	a large group of people in a room
27161-mildorf1.jpg	a group of people sitting on a couch	a group of people sit on a couch
11410-fields.jpg	a view of a field with a mountain in the background	a view of a field with a mountain in the background
29490-breakfas.jpg	a little girl sitting in front of a mirror	a little girl sit in front of a mirror
35851-riverfis.jpg	a group of people in boats on a river	a group of people in boats on a river
37479-market2.jpg	a group of people that are sitting on a table	a group of people that are sit on a table
00431-4seasons.jpg	a group of people sitting on top of a sandy beach	a group of people sit on top of a sandy beach
43393-f_virgi.jpg	a picture of a man standing in front of a clock	a picture of a man stand in front of a clock
28430-winterla.jpg	a group of people standing around a house	a group of people stand around a house
02870-joseph2.jpg	a group of people standing in front of a building	a group of people stand in front of a building
07559-42loreto.jpg	a man sitting on a bench with a child	a man sit on a bench with a child
26361-writing2.jpg	a woman and a dog in a room	a woman and a dog in a room
39630-2rabbit.jpg	a group of people sitting on top of a bed	a group of people sit on top of a bed
23619-hermit.jpg	a statue of a man standing next to a rock	a statue of a man stand next to a rock
24062-2sposi11.jpg	a vase sitting on the side of a wall	a vase sit on the side of a wall
11677-4west.jpg	a large cathedral with a large clock on it	a large cathedral with a large clock on it
06226-martelli.jpg	a man in a black hat and a hat	a man in a black hat and a hat
06596-5sense3.jpg	a painting of a man sitting on top of a table	a painting of a man sit on top of a table
39654-02trinit.jpg	a group of people sitting on top of a horse	a group of people sit on top of a horse
21857-fountain.jpg	a group of people standing near a fountain	a group of people stand near a fountain
28393-stpeter.jpg	a dog laying on its back on a bed	a dog lay on its back on a bed
04916-cartoxen.jpg	a couple of cows standing next to each other	a couple of cows stand next to each other
12402-gluck.jpg	a man in a suit sitting in a chair	a man in a suit sit in a chair
08509-1lands09.jpg	a large rock in front of a body of water	a large rock in front of a body of water
33382-05newtes.jpg	a man sitting on a couch reading a book	a man sit on a couch reading a book
05427-02madonn.jpg	a statue of a woman in a costume	a statue of a woman in a costume
28735-crucifix.jpg	a painting of a group of people and horses	a painting of a group of people and horses
33297-crepuscu.jpg	a painting of a painting on the side of a cliff	a painting of a painting on the side of a cliff
18977-02guilla.jpg	a painting of a vase with flowers in it	a painting of a vase with flowers in it
42791-1sacris.jpg	a couple of people that are sitting on a bed	a couple of people that are sit on a bed
29248-102muril.jpg	a man holding a plate of food on a sidewalk	a man hold a plate of food on a sidewalk
36741-kingjohn.jpg	a man in a red jacket holding a microphone	a man in a red jacket hold a microphone
20496-johnbapt.jpg	a woman in a dress standing next to a tree	a woman in a dress stand next to a tree
39139-06zianig1.jpg	a painting of a man and a dog in a boat	a painting of a man and a dog in a boat
18354-1505grec.jpg	a statue of a man standing next to a man	a statue of a man stand next to a man
19703-fermor.jpg	a man in a vest is standing in the dark	a man in a vest is stand in the dark
39175-11valma.jpg	a couple of women standing in front of a painting	a couple of women stand in front of a painting
06175-00altar.jpg	a painting of a woman standing next to a building	a painting of a woman stand next to a building
21024-portrai2.jpg	a black and white photo of a woman in a dress	a black and white photo of a woman in a dress
29679-king_asa.jpg	a very tall building with a clock on it	a very tall building with a clock on it
03984-bello212.jpg	a view of a city with a city in the background	a view of a city with a city in the background
14180-075game.jpg	a group of people sitting on top of a lush green field	a group of people sit on top of a lush green field
44188-sideways.jpg	a woman standing next to a woman in a costume	a woman stand next to a woman in a costume
33474-07mythol.jpg	a picture of a woman and a dog	a picture of a woman and a dog
08727-peace.jpg	a group of people sitting on top of a rock	a group of people sit on top of a rock
14736-judith.jpg	a couple of people standing next to each other	a couple of people stand next to each other
00744-11fieso1.jpg	a picture of a painting on a wall	a picture of a painting on a wall
15026-marque09.jpg	a group of people riding horses on a beach	a group of people rid horses on a beach
11126-early17.jpg	a group of women standing next to each other	a group of women stand next to each other
37617-merchant.jpg	an old woman sitting on the ground next to a tree	an old woman sit on the ground next to a tree
38079-soldiers.jpg	a group of people sitting on top of a stone wall	a group of people sit on top of a stone wall
33394-15newtet.jpg	a stone building with statues and statues	a stone building with statues and statues
17904-2resting.jpg	a group of people sitting on top of a hill	a group of people sit on top of a hill
23878-4manet16.jpg	a couple of men sitting next to each other	a couple of men sit next to each other
23177-15monaco.jpg	a group of people standing next to each other	a group of people stand next to each other
06150-the_port.jpg	a boat that is sitting in the dirt	a boat that is sit in the dirt
44087-10woman.jpg	a woman wearing a hat and a hat	a woman wear a hat and a hat
18796-lagoon.jpg	a picture of an old building in the water	a picture of an old building in the water
07940-holyhous.jpg	a group of people standing on top of a rock	a group of people stand on top of a rock
37528-3present.jpg	a group of people standing next to each other	a group of people stand next to each other
10438-cainabel.jpg	a man sitting on the floor next to a man	a man sit on the floor next to a man
07916-hunting.jpg	a group of people standing around a pile of animals	a group of people stand around a pile of animals
23839-2manet18.jpg	a couple of women standing next to each other	a couple of women stand next to each other
14221-clare6.jpg	a woman standing in front of a building	a woman stand in front of a building
03202-eucharis.jpg	a group of people standing in a room	a group of people stand in a room
05999-governor.jpg	a group of people sitting around each other	a group of people sit around each other
20092-19hooch.jpg	a group of people sitting around a table	a group of people sit around a table
25150-anthony1.jpg	a painting of a woman and an umbrella	a painting of a woman and an umbrella
23421-thomas4.jpg	a painting of a person sitting in a room	a painting of a person sit in a room
17208-olive10.jpg	a tree that has a tree in it	a tree that has a tree in it
32062-cremona1.jpg	a group of people on horses in a museum	a group of people on horses in a museum
31787-mansorro.jpg	a man with a beard and a white shirt	a man with a beard and a white shirt
17006-nuenen21.jpg	a man is sitting on the back of a suitcase	a man is sit on the back of a suitcase
41978-clouds.jpg	a view of a beach with a mountain in the background	a view of a beach with a mountain in the background
42767-00view.jpg	a building with a clock on the front of it	a building with a clock on the front of it
13125-interior.jpg	a woman standing in front of a large window	a woman stand in front of a large window
21460-census.jpg	a group of people sitting around a table with a dog	a group of people sit around a table with a dog
29281-213muril.jpg	a woman sitting on a couch holding a baby	a woman sit on a couch holding a baby
43263-landscap.jpg	a couple of people riding horses down a road	a couple of people rid horses down a road
05225-20right.jpg	a bunch of animals that are on display	a bunch of animals that are on display
05524-20pallas.jpg	a woman sitting on the back of a horse	a woman sit on the back of a horse
13141-flight_e.jpg	a group of people riding on the back of a boat	a group of people rid on the back of a boat
31479-nativity.jpg	a group of people that are standing around	a group of people that are stand around
12275-verso18.jpg	a group of people standing next to each other	a group of people stand next to each other
29999-stillifx.jpg	a wooden table topped with a pair of scissors	a wooden table topped with a pair of scissors
24094-3christ.jpg	a man in a red shirt is looking at a laptop	a man in a red shirt is look at a laptop
26191-thomas.jpg	a painting of a man sitting on a bed	a painting of a man sit on a bed
36317-angelapp.jpg	a couple of people standing next to a large tree	a couple of people stand next to a large tree
41174-z_ag.jpg	a man wearing a hat and holding a hat	a man wear a hat and holding a hat
17094-1arles06.jpg	a large body of water next to a river	a large body of water next to a river
43147-elegant.jpg	a woman in a dress holding a umbrella	a woman in a dress hold a umbrella
09228-descent.jpg	a picture of a man and a woman	a picture of a man and a woman
00096-stilfrui.jpg	a bunch of flowers in a dark room	a bunch of flowers in a dark room
19065-banquet1.jpg	a group of people standing around a table full of food	a group of people stand around a table full of food
09449-youngman.jpg	a woman holding a tie in her hands	a woman hold a tie in her hands
17056-paris06.jpg	a group of people standing outside of a building	a group of people stand outside of a building
29247-101muril.jpg	a man sitting on the ground next to a vase	a man sit on the ground next to a vase
08530-1lands04.jpg	a mountain with a mountain in the background	a mountain with a mountain in the background
07618-70david.jpg	a man and a woman standing in a dark room	a man and a woman stand in a dark room
17526-4deposit.jpg	a group of people standing next to each other	a group of people stand next to each other
30805-pieta.jpg	a group of people sitting around a building	a group of people sit around a building
30363-polyptic.jpg	a large ornate clock on the side of a building	a large ornate clock on the side of a building
30484-salviati.jpg	a group of people standing in front of a window	a group of people stand in front of a window
26192-virgin.jpg	a black and white photo of a woman holding an umbrella	a black and white photo of a woman hold an umbrella
05290-4lastjud.jpg	an old photo of a woman holding a bat	an old photo of a woman hold a bat
17259-auvers19.jpg	a garden with flowers and plants in it	a garden with flowers and plants in it
28474-mountai.jpg	a view of a mountain with a mountain in the background	a view of a mountain with a mountain in the background
08819-andrew.jpg	a group of people sitting on top of a horse	a group of people sit on top of a horse
38730-barbara.jpg	a statue of a person in a costume	a statue of a person in a costume
22580-3rules.jpg	a group of people standing next to a wall	a group of people stand next to a wall
15866-paris2.jpg	a group of people that are in a room	a group of people that are in a room
32263-15pansyr.jpg	a group of people that are standing in the grass	a group of people that are stand in the grass
14635-2north7.jpg	a group of people standing next to each other	a group of people stand next to each other
40882-04scenes.jpg	a group of people sitting on a beach	a group of people sit on a beach
09649-01barber.jpg	a painting of a bird on the side of a building	a painting of a bird on the side of a building
04108-italian.jpg	a group of people riding horses down a dirt road	a group of people rid horses down a dirt road
33346-musician.jpg	a man sitting on a bed reading a book	a man sit on a bed reading a book
08978-00landsc.jpg	a group of people standing next to a river	a group of people stand next to a river
16788-2north3.jpg	a statue of a man sitting on top of a sign	a statue of a man sit on top of a sign
18240-0601grec.jpg	a man in a black jacket is talking on a cell phone	a man in a black jacket is talk on a cell phone
03529-dessert.jpg	a wooden table topped with a lamp and a lamp	a wooden table topped with a lamp and a lamp
22497-41jerome.jpg	a statue of a horse and a brown elephant	a statue of a horse and a brown elephant
31217-08resur1.jpg	a statue of a man standing next to a statue	a statue of a man stand next to a statue
22717-5funeral.jpg	a large painting of a man and a woman	a large painting of a man and a woman
03175-apotheos.jpg	a painting of a man sitting on top of a vase	a painting of a man sit on top of a vase
36102-presenta.jpg	a group of people that are in a room	a group of people that are in a room
29994-partridg.jpg	a couple of dogs that are standing in the grass	a couple of dogs that are stand in the grass
15862-lapiths.jpg	a group of people that are on some elephants	a group of people that are on some elephants
42394-cannonsh.jpg	a boat that is floating in the water	a boat that is float in the water
12961-cardinal.jpg	a man in a red jacket is sitting on a blanket	a man in a red jacket is sit on a blanket
16403-mary02.jpg	a group of people standing next to each other	a group of people stand next to each other
00683-vallomb2.jpg	a man standing next to a statue of a man	a man stand next to a statue of a man
27056-frederic.jpg	a man with a beard and a black hat	a man with a beard and a black hat
10557-levada5.jpg	a group of people standing next to a statue	a group of people stand next to a statue
42838-07cruci1.jpg	a group of people standing next to a horse	a group of people stand next to a horse
23336-03young.jpg	a man wearing a black hat and a hat	a man wear a black hat and a hat
20673-courtyar.jpg	a group of people standing in front of a building	a group of people stand in front of a building
23066-7michael.jpg	a large painting of a painting on a wall	a large painting of a painting on a wall
44173-ships.jpg	a group of people standing on top of a wooden boat	a group of people stand on top of a wooden boat
19792-elect01.jpg	a group of people sitting around a table	a group of people sit around a table
25948-flora1.jpg	a woman sitting on a couch holding a piece of paper	a woman sit on a couch holding a piece of paper
24437-distrib.jpg	a group of people standing next to a building	a group of people stand next to a building
25064-coronati.jpg	a woman holding a teddy bear in her hands	a woman hold a teddy bear in her hands
00460-princess.jpg	a woman and a child are laying in bed	a woman and a child are lay in bed
10941-canon.jpg	a group of people standing next to each other	a group of people stand next to each other
13433-2holzhau.jpg	a man and a woman standing next to each other	a man and a woman stand next to each other
20150-concert1.jpg	a group of people standing in front of a building	a group of people stand in front of a building
05690-shepdrea.jpg	a woman sitting on a bed with a dog	a woman sit on a bed with a dog
22636-06annunc.jpg	a group of people standing in front of a building	a group of people stand in front of a building
17110-3arles24.jpg	a river with trees and trees in the background	a river with trees and trees in the background
15123-selfport.jpg	a woman in a leather jacket sitting in the dark	a woman in a leather jacket sit in the dark
30557-nessus_d.jpg	a couple of women standing next to each other	a couple of women stand next to each other
42398-goeree.jpg	a bunch of boats that are sitting in the water	a bunch of boats that are sit in the water
22644-07meetin.jpg	a couple of women standing next to a statue	a couple of women stand next to a statue
21910-busch.jpg	a close up of a person with a beard	a close up of a person with a beard
41386-10colom1.jpg	a group of people standing in front of a building	a group of people stand in front of a building
44278-9rome.jpg	a large body of water with many boats in it	a large body of water with many boats in it
03459-moses.jpg	a group of people standing around a group of horses	a group of people stand around a group of horses
00410-2christ2.jpg	a group of people standing next to each other	a group of people stand next to each other
24845-altar.jpg	a painting of a woman in a dress	a painting of a woman in a dress
41884-vendra07.jpg	a large white building with a large painting	a large white building with a large painting
38536-2allegor.jpg	a group of people standing next to each other	a group of people stand next to each other
41385-09altar.jpg	a painting of a man standing next to a clock	a painting of a man stand next to a clock
32779-21graces.jpg	a couple of women standing next to each other	a couple of women stand next to each other
39672-11madonc.jpg	a woman sitting on a couch next to a baby	a woman sit on a couch next to a baby
44685-madonna.jpg	a group of people standing next to each other	a group of people stand next to each other
14573-erthal.jpg	a picture of a woman in a mirror	a picture of a woman in a mirror
28366-3martket.jpg	a couple of women standing next to each other	a couple of women stand next to each other
24130-1christ.jpg	a little boy sitting next to a little boy	a little boy sit next to a little boy
31862-adultere.jpg	a group of people standing next to each other	a group of people stand next to each other
24436-baptism.jpg	a group of people standing next to each other	a group of people stand next to each other
08630-vanitas.jpg	a close up of a cow in a vase	a close up of a cow in a vase
38218-gallopin.jpg	a man riding on the back of a brown horse	a man rid on the back of a brown horse
06308-howard.jpg	a man wearing a leather jacket and a tie	a man wear a leather jacket and a tie
02720-rudolf.jpg	a group of people riding horses on a beach	a group of people rid horses on a beach
38007-altarpi.jpg	a grandfather clock in the middle of a room	a grandfather clock in the middle of a room
03982-bello210.jpg	a man standing on a beach next to a river	a man stand on a beach next to a river
04836-vanitas.jpg	a room filled with lots of different items	a room filled with lots of different items
41316-02cruci0.jpg	a clock on the wall of a building	a clock on the wall of a building
15572-5donor.jpg	a statue of a man standing next to a building	a statue of a man stand next to a building
11107-pensive.jpg	a man sitting on top of a pile of snow	a man sit on top of a pile of snow
17962-03fortu2.jpg	a statue of a man holding a piece of paper	a statue of a man hold a piece of paper
40392-5dragon1.jpg	a statue of a horse and a horse on a street	a statue of a horse and a horse on a street
11580-bardi.jpg	a man is standing in front of a building	a man is stand in front of a building
34068-3renoi16.jpg	a statue of a woman holding a cat	a statue of a woman hold a cat
41398-14deposi.jpg	a painting of a couple sitting in front of a wall	a painting of a couple sit in front of a wall
17088-orchar09.jpg	a tree that has some flowers in it	a tree that has some flowers in it
14715-101perdi.jpg	a woman sitting next to a dog and a tree	a woman sit next to a dog and a tree
00733-5mira4.jpg	a white vase with a statue on top of it	a white vase with a statue on top of it
20019-birdspax.jpg	a group of birds that are standing on the ground	a group of birds that are stand on the ground
16602-stucco.jpg	a wall with a picture of a man on it	a wall with a picture of a man on it
05369-bouquet.jpg	a vase filled with flowers on a table	a vase filled with flowers on a table
07919-magdalen.jpg	a woman sitting on a bench talking on a cell phone	a woman sit on a bench talking on a cell phone
14921-3ponta03.jpg	a table with a pot and some food on it	a table with a pot and some food on it
08053-young_m.jpg	a woman in a dress standing next to a child	a woman in a dress stand next to a child
00246-virgin.jpg	a young boy sitting on top of a wooden chair	a young boy sit on top of a wooden chair
14632-2north4.jpg	a large group of people standing in front of a building	a large group of people stand in front of a building
20048-08adorsh.jpg	a group of people standing around a cow	a group of people stand around a cow
07224-canal5111.jpg	a group of people on a boat in the water	a group of people on a boat in the water
21200-extensiv.jpg	a group of people standing next to a river	a group of people stand next to a river
26066-17rein4.jpg	a picture of a woman in a dress	a picture of a woman in a dress
21199-deathnio.jpg	a group of people riding on the backs of horses	a group of people rid on the backs of horses
05262-18mocked.jpg	a man and woman dressed in costumes and a dog	a man and woman dressed in costumes and a dog
33425-68newtes.jpg	a couple of people standing next to each other	a couple of people stand next to each other
07612-65lazar.jpg	a group of people standing around a group of elephants	a group of people stand around a group of elephants
29449-gothic1.jpg	a large building with people walking around it	a large building with people walk around it
35043-woodedla.jpg	a tree in the middle of a forest	a tree in the middle of a forest
35493-26mytho.jpg	a group of people standing next to each other	a group of people stand next to each other
21340-selfport.jpg	a group of people sitting on top of a bed	a group of people sit on top of a bed
17975-00wall1.jpg	a painting of a painting on the side of a building	a painting of a painting on the side of a building
13921-p_tulp.jpg	a woman in a black dress standing next to a tree	a woman in a black dress stand next to a tree
17226-copies18.jpg	a statue of a man standing next to a statue	a statue of a man stand next to a statue
44454-hunting.jpg	a group of horses that are in a field	a group of horses that are in a field
09493-portlady.jpg	a young woman wearing a hat and scarf	a young woman wear a hat and scarf
41189-zsigismu.jpg	a man in a costume and a costume	a man in a costume and a costume
29702-clearing.jpg	a person standing in a forest next to a forest	a person stand in a forest next to a forest
28483-winter_l.jpg	a herd of horses standing next to a forest	a herd of horses stand next to a forest
08965-stillif3.jpg	a table that has some food on it	a table that has some food on it
31112-3burial1.jpg	a couple of people standing next to each other	a couple of people stand next to each other
29703-classica.jpg	a couple of people standing next to a fountain	a couple of people stand next to a fountain
42223-0209vela.jpg	a man in a black jacket is talking on a cell phone	a man in a black jacket is talk on a cell phone
36975-a_hunt.jpg	a group of people riding on the backs of horses	a group of people rid on the backs of horses
29380-st_john.jpg	a statue of a man sitting on a wooden floor	a statue of a man sit on a wooden floor
43423-girardon.jpg	a woman is sitting in front of a man	a woman is sit in front of a man
11463-landscap.jpg	a bunch of plants that are on a table	a bunch of plants that are on a table
23008-lamentat.jpg	a man and a woman sitting on a couch	a man and a woman sit on a couch
04578-pendant2.jpg	a woman holding a pair of scissors in her hands	a woman hold a pair of scissors in her hands
31361-shipwrec.jpg	a large brown bear standing in the water	a large brown bear standing in the water
25162-vittore1.jpg	a statue of a man in a dress and tie	a statue of a man in a dress and tie
10762-portpate.jpg	a woman in a dress is standing next to a tree	a woman in a dress is stand next to a tree
21607-mytholo1.jpg	a couple of people standing next to each other	a couple of people stand next to each other
12347-versavel.jpg	a woman standing in front of a large building	a woman stand in front of a large building
21798-cherries.jpg	a basket filled with lots of fruits and vegetables	a basket filled with lots of fruits and vegetables
06802-madonna.jpg	a woman sitting next to a little boy	a woman sit next to a little boy
13061-boardman.jpg	a man standing in front of a stack of baskets	a man stand in front of a stack of baskets
34314-maruce14.jpg	a painting of a <unk> with a bunch of statues	a painting of a < unk > with a bunch of statues
32888-0eliodo.jpg	a group of people standing in front of a building	a group of people stand in front of a building
12499-12krel1.jpg	a woman wearing a black jacket and a black jacket	a woman wear a black jacket and a black jacket
09689-galleri2.jpg	a clock that is on top of a wall	a clock that is on top of a wall
38065-old_woma.jpg	a man is sitting on the floor with his hands	a man is sit on the floor with his hands
34689-grif_05.jpg	a man standing in front of a metal fence	a man stand in front of a metal fence
14652-02baronc.jpg	a large ornate clock in the middle of a building	a large ornate clock in the middle of a building
29759-stillute.jpg	a close up of a pair of scissors on a table	a close up of a pair of scissors on a table
39319-2ecce.jpg	a group of people sitting on top of a boat	a group of people sit on top of a boat
12362-tivoli1.jpg	a view of a city in the distance	a view of a city in the distance
06779-pompei.jpg	a group of people sitting around a building	a group of people sit around a building
14663-13baronc.jpg	an old woman standing in front of a building	an old woman stand in front of a building
16717-portcath.jpg	a man wearing a black jacket and a black jacket	a man wear a black jacket and a black jacket
00907-armadio1.jpg	a clock on the side of a building	a clock on the side of a building
28398-battle.jpg	a group of people sitting on top of a bed	a group of people sit on top of a bed
14682-triptyc1.jpg	a wooden clock with a painting on it	a wooden clock with a painting on it
12231-pre_v_6.jpg	a painting of a woman standing next to a statue	a painting of a woman stand next to a statue
04018-triptyc2.jpg	a wooden clock with a painting on it	a wooden clock with a painting on it
24010-zeno1p.jpg	a group of people standing next to a wall	a group of people stand next to a wall
17288-selfpo15.jpg	a close up of a person wearing a suit and tie	a close up of a person wear a suit and tie
06337-01games.jpg	a large group of people standing around a building	a large group of people stand around a building
10747-peasant.jpg	a statue of a woman sitting on a statue	a statue of a woman sit on a statue
39026-7europe.jpg	a group of people standing around in front of a wall	a group of people stand around in front of a wall
20022-floating.jpg	a flock of birds that are standing in the water	a flock of birds that are stand in the water
34266-madonna.jpg	a group of people are playing tennis in a room	a group of people are play tennis in a room
38631-witches.jpg	a group of people sitting in a dark room	a group of people sit in a dark room
42460-virgin_c.jpg	a painting of a flower arrangement in a vase	a painting of a flower arrangement in a vase
44753-dwarf.jpg	a man standing next to a cow next to a man	a man stand next to a cow next to a man
03445-14adorat.jpg	a group of people standing next to each other	a group of people stand next to each other
32652-class.jpg	a group of people standing around each other	a group of people stand around each other
